Country,GDP - 2013,GDP - 2014,GDP - 2015
Luxemburg,113726.639,116612.8842,101449.9682
Switzerland,84658.88768,85814.58857,80945.07922
Norway,102910.435,97005.49856,74400.36978
Qatar,94574.25505,94944.08559,73653.39443
Ireland,52034.76822,55503.32726,61133.67243
Australia,67652.68321,61995.8297,56310.96299
United States of America,52749.91124,54539.66558,56115.71843
Singapore,55617.6125,56007.28821,52888.74467
Denmark,60361.73877,61330.91263,51989.29347
Sweden,60283.24522,59180.19898,50579.67365
Iceland,47493.24904,52036.73181,50173.33992
Netherlands,51574.48942,52157.40687,44299.76809
United Kingdom,42407.37101,46412.11727,43875.96961
Austria,50504.71532,51322.63997,43774.98517
Canada,52266.17568,50185.4815,43248.52991
Finland,49638.07713,49887.89697,42311.03623
Germany,45688.39307,47902.65288,41313.31399
United Arab Emirates,42986.66461,44238.59977,40438.76293
Belgium,46508.11872,47346.79282,40324.02777
New Zealand,42928.09633,44380.42658,37807.96728
France,42571.19799,42696.77883,36205.5681
Israel,36393.66932,37582.84624,35728.0935
Japan,40488.2432,38139.42236,34523.70077
Brunei,43970.53194,41023.88988,30554.72967
Italy,35370.27441,35365.10412,29957.80432
Kuwait,48463.15167,43332.40625,29300.57558
South Korea,25997.88105,27989.35399,27221.52405
Spain,29370.66387,29718.50022,25831.58231
Cyprus,27907.96736,27340.88382,23242.84007
Bahamas,22554.45412,22497.44971,22817.23086
Bahrain,24113.52484,24514.99913,22600.2141
Malta,24056.61245,25125.09562,22596.18177
Slovenia,23150.31799,24020.67286,20726.53989
Saudi Arabia,24646.02087,24406.47646,20481.74532
Portugal,21618.73534,22124.36722,19222.15008
Greece,21874.8195,21673.78107,18002.23058
Czech Republic,19916.01939,19744.55861,17548.33821
Trinidad,19607.94918,19325.3855,17321.88468
Estonia,19029.77923,19941.4527,17118.5042
Slovakia,18191.61279,18595.15111,16088.27759
St. Kitts and Nevis,14514.72144,15429.85922,15771.9455
Uruguay,16881.384,16737.9731,15573.90092
Oman,20204.92954,19129.84422,15550.67625
Seychelles,15695.89834,15563.79422,15476.01944
Barbados,15473.09806,15360.0618,15429.34046
Equatorial Guinea,27528.65799,26144.9405,14439.59445
Lithuania,15692.01291,16489.72898,14147.04938
Antigua and Barbuda,13342.085,13432.07921,13714.73196
Latvia,15033.15295,15710.16771,13648.54756
Palau,10932.64496,11892.68616,13498.66141
Argentina,13027.20482,12324.93879,13431.87834
Chile,15764.75545,14566.14905,13416.23004
Panama,11786.63317,12712.43132,13268.11375
Poland,13780.54911,14341.85993,12554.54755
Hungary,13613.60147,14117.97668,12363.54346
Croatia,13574.97804,13480.65075,11535.82936
Costa Rica,10547.21016,10544.72003,11260.09216
Kazakhstan,13890.85601,12806.56511,10509.98107
Nauru,10726.07872,11499.99428,9827.544281
Malaysia,10971.41558,11305.9001,9768.32686
Suriname,9618.350531,9680.115914,9485.319244
Mauritius,9637.00265,10153.93822,9252.110724
Grenada,7956.141842,8570.663396,9212.020352
Turkey,10800.54235,10303.69871,9125.68759
Russia,15552.05099,14051.59912,9092.580536
Mexico,10198.6473,10353.44798,9005.024265
Romania,9585.266593,10020.27733,8972.922518
Brazil,12071.77799,11728.79939,8538.589975
Maldives,7112.33575,7716.204015,8395.785198
Gabon,10658.77273,10772.06175,8266.445605
Lebanon,8388.973293,8148.639167,8047.645086
China,7077.770594,7683.502038,8027.68381
St. Lucia,7229.928884,7548.196954,7735.910484
Dominica,7061.27558,7301.235865,7116.386392
Bulgaria,7674.860559,7853.335191,6993.47736
St. Vincent and the Grenadines,6596.788974,6656.115717,6739.174833
Turkmenistan,7480.321678,8199.009383,6672.477544
Dominican Republic,6026.989889,6268.632483,6468.473492
Montenegro,7186.813592,7378.042271,6406.070855
Botswana,6806.658939,7153.447859,6360.13822
Ecuador,6074.181971,6432.295813,6205.064145
Colombia,8030.690861,7918.0789,6056.147717
Peru,6580.979053,6490.18119,6027.125855
Thailand,6225.052283,5969.940116,5814.769764
Belarus,7722.123351,8025.304356,5740.456495
South Africa,6910.665338,6498.589,5723.973357
Azerbaijan,7811.621418,7886.459144,5496.34464
Serbia,6353.826383,6200.173221,5235.142207
Jamaica,5259.042342,5108.357038,5232.024583
Fiji,4758.892782,5042.371396,4960.519954
Iraq,6879.69779,6484.529337,4943.760388
Jordan,4656.219807,4830.976915,4940.045836
Belize,4723.594355,4884.368562,4878.721267
Macedonia,5219.535681,5453.281275,4852.657848
Namibia,5417.800314,5349.447676,4673.567248
Libya,10453.97044,6573.386737,4643.305762
Bosnia,4748.040692,4852.318649,4249.330313
El Salvador,3998.739499,4102.063852,4219.35033
Algeria,5491.614414,5484.066806,4206.031232
Guyana,3928.87895,4028.163991,4127.351018
Angola,5327.148892,5232.7623,4101.472152
Tonga,4274.226824,4200.132045,4098.543929
Paraguay,4479.955052,4712.870205,4080.951448
Mongolia,4400.614515,4201.737722,3967.829386
Albania,4412.345578,4568.568827,3945.217582
Samoa,4179.597681,4172.2171,3938.548846
Sri Lanka,3611.341987,3852.742066,3926.174396
Guatemala,3432.017458,3666.579838,3903.478856
Tunisia,4248.891276,4328.904197,3872.512084
Georgia,4274.376873,4429.650075,3795.973308
Egypt,3264.450063,3365.707421,3614.746766
Armenia,3716.828923,3861.91557,3489.12769
Marshall Islands,3618.231253,3461.645096,3385.967463
Indonesia,3631.672694,3499.588735,3346.487039
Tuvalu,3880.352322,3766.26806,3295.005823
Swaziland,3686.879283,3539.918351,3200.143018
Bolivia,2948.032472,3124.085434,3076.791811
Philippines,2786.014701,2873.088189,2904.202082
Morocco,3141.725373,3186.60876,2878.201342
Vanuatu,3167.055303,3147.963779,2805.314644
Bhutan,2383.04473,2560.522132,2655.998892
Nigeria,2979.84415,3203.244296,2640.290739
Honduras,2340.684866,2434.280046,2528.89355
Sudan,1871.108979,2087.700544,2414.723601
Uzbekistan,1907.551233,2036.691723,2132.070368
Ukraine,4029.715504,3104.658296,2114.954716
Vietnam,1907.564382,2052.319084,2111.138024
Nicaragua,1829.024989,1960.490908,2086.895003
Djibouti,1682.948665,1812.425386,1945.124293
Solomon Islands,1890.000903,2021.359214,1934.856293
Moldova,2243.979662,2244.763762,1848.061804
Laos,1700.525305,1754.896196,1818.441373
Sao Tome and Principe,1660.903193,1870.021025,1669.063268
India,1456.201628,1576.817669,1598.259034
Pakistan,1276.092448,1320.55355,1434.696665
Kiribati,1724.21876,1684.321292,1424.280879
Yemen,1582.849252,1650.974597,1406.291651
Côte d'Ivoire,1445.910582,1544.321337,1398.989958
Kenya,1261.092863,1368.491132,1376.712829
Ghana,1827.101368,1441.636453,1369.701122
Zambia,1839.518709,1726.992844,1304.879014
Cameroon,1331.200021,1407.403413,1217.26067
Bangladesh,954.3963997,1086.800087,1211.701531
Myanmar,1134.928443,1227.137217,1161.488158
Cambodia,1024.60887,1094.576688,1158.689904
Kyrgyzstan,1282.437162,1279.769783,1103.215352
Lesotho,1199.874106,1203.695893,1066.985626
Tajikistan,1048.666906,1113.366354,925.9118877
Zimbabwe,905.5003218,931.1981847,924.1438193
Senegal,1041.167179,1041.717461,899.5798795
Tanzania,909.3301412,957.9345343,878.9751055
Haiti,810.3073259,831.5905217,818.3432976
Chad,985.095322,1024.668354,775.6950905
Benin,887.0899667,915.9266408,762.0512054
Nepal,696.732684,703.1825707,743.3229657
South Sudan,1157.486958,1115.093515,730.5801009
Mali,772.2501095,819.6212972,724.2562832
Comoros,823.0230023,841.2055558,717.44885
Uganda,683.3431532,734.7440153,705.2925695
Rwanda,678.9981669,697.6265013,697.3482281
Sierra Leone,796.3190607,794.087082,653.1318159
Ethiopia,503.9026066,573.5659603,619.1694065
Afghanistan,653.3474881,633.9478643,594.3230812
Burkina Faso,698.3350349,696.8562068,589.7744141
Guinea-Bissau,584.2820032,615.9396826,572.9884285
Togo,588.9875461,630.0460614,559.6358767
Somalia,521.2230393,536.9111436,549.2669766
Guinea,521.5389059,539.615775,531.3205952
Mozambique,605.2344447,623.1979366,529.2425561
The Gambia,484.1126877,440.3703892,471.5371955
Liberia,453.339457,457.8585865,455.8739345
Madagascar,462.4600105,452.8103949,401.836006
Malawi,335.5235807,362.6930683,371.9857478
Niger,417.6703093,431.3816821,358.958152
Central African Republic,322.3665933,354.4519011,323.201674
Burundi,259.3652082,286.0023359,277.0683092
