Country,Rad/1000 - 2013,Rad/1000 - 2014,Rad/1000 - 2015
Afghanistan,28.23335778,21.81329125,27.12171056
Albania,41.45579103,35.71194068,37.63403085
Algeria,126.8329722,130.9833372,149.2730683
Andorra,117.0983637,139.4636331,133.1573794
Angola,35.01326029,46.27455946,30.27978528
Antigua and Barbuda,90.64844141,74.97249725,103.3021848
Argentina,103.8281874,131.2065516,163.6491949
Armenia,24.82461019,16.5204444,16.85913036
Australia,200.9350292,180.3991428,348.8875589
Austria,50.26726616,43.41693423,49.0523381
Azerbaijan,38.92648894,30.9312592,34.9024784
Bahrain,175.5448794,190.0934703,183.6343345
Bangladesh,1.965539082,2.394819939,2.834095348
Barbados,45.84730074,39.99223657,42.53118238
Belarus,122.3901331,42.70241485,58.03542521
Belgium,121.9720398,100.8104824,103.8242927
Belize,83.92093971,78.72484405,106.2548882
Benin,9.58387682,6.817674456,7.644881183
Bhutan,41.03297347,40.87931107,71.4453493
Bolivia,76.61877757,99.43516722,109.494387
Bosnia,54.05994927,35.03945196,46.95314107
Botswana,139.4213672,155.6760395,132.224523
Brazil,67.04993524,65.28438096,69.66079
Brunei,153.648004,162.6257205,221.2302806
Bulgaria,54.56816582,38.52137158,59.7437361
Burkina Faso,11.17401133,8.577025513,13.23708671
Burundi,1.405031302,1.782680001,2.761894462
Cambodia,16.53254249,7.364691963,15.44027214
Cameroon,21.76986116,15.22569652,20.19728344
Canada,1147.0106,1223.489743,1840.326534
Cape Verde,82.75473231,68.73435998,57.47528348
Central African Republic,90.9274631,67.56383219,59.25464576
Chad,58.42396059,37.66438535,57.90786261
Chile,66.14491615,82.27608194,100.4281168
China,18.56371908,15.52928013,17.77219338
Colombia,42.92151619,33.05996961,38.583952
Comoros,7.302144348,11.00792087,7.220276128
Costa Rica,44.91405699,41.60916226,45.46772466
Côte d'Ivoire,21.03615264,17.76694042,18.79329329
Croatia,118.5826784,94.77586885,108.3643989
Cuba,26.3770181,21.82964908,32.61749662
Cyprus,101.2909363,99.52082853,116.4910324
Czech Republic,71.39524258,62.34939333,68.55179482
Denmark,78.78759707,52.59029233,72.25649321
Djibouti,31.48791169,13.09785499,23.51381579
Dominica,35.69196584,19.9195477,38.96532746
Dominican Republic,20.46315057,18.22842966,23.77970195
Ecuador,47.96654329,45.16486159,45.15266412
Egypt,46.28532212,44.68947028,47.26818452
El Salvador,12.92078814,11.72338682,13.35295711
Equatorial Guinea,124.6973335,58.80117191,87.21510899
Estonia,438.6679181,138.1428555,142.8203397
Ethiopia,11.92567038,5.809956343,6.601298411
Fiji,89.94340632,15.43911106,106.5488233
Finland,704.2266443,197.6353801,0.443632658
France,99.53406514,89.01755506,96.32213082
Gabon,325.2998908,257.296289,175.2010674
Georgia,61.71371822,40.17547625,47.11280239
Germany,48.6944228,37.99104745,40.78867117
Ghana,13.39069772,12.34225414,12.35867648
Greece,100.3935082,76.86405207,99.17605129
Grenada,43.05867689,26.0557222,34.78586473
Guatemala,14.53827095,12.50832475,15.81886002
Guinea,24.42293848,24.88210893,23.29634003
Guinea-Bissau,24.51258808,17.60609337,22.51772329
Guyana,440.7785208,249.4642574,323.0893578
Haiti,2.978646181,1.964428966,3.47519066
Honduras,28.17216688,25.88561711,33.66922351
Hungary,59.99192163,45.91805294,51.3949353
India,8.746367213,9.784624989,10.11729504
Indonesia,17.0320387,14.79689252,18.73136178
Iran,92.41002019,94.0026677,104.172454
Iraq,158.3077978,142.7976118,172.4460337
Ireland,85.61544782,89.84270855,99.97170687
Israel,95.50865438,102.7287997,105.3285046
Italy,90.98523643,93.50658687,97.78491971
Jamaica,30.60262596,26.60891862,33.20211259
Japan,30.24520738,30.06195932,27.44202845
Jordan,47.63229414,49.83506792,54.24405169
Kazakhstan,471.5619795,322.1577787,293.1922628
Kenya,17.75522653,17.63749008,13.44762082
Kiribati,155.0615419,185.5707432,203.8017132
Kuwait,224.2709372,225.5064518,214.1455224
Kyrgyzstan,75.91702217,56.77456945,65.25784791
Laos,21.90187364,24.50091938,33.76304373
Latvia,169.4812851,64.2532634,149.3469602
Lebanon,35.8037371,40.87902274,41.81503101
Lesotho,12.35681528,14.60982545,14.89633362
Liberia,32.82070535,16.26614844,25.50518071
Libya,410.4714868,342.1825331,444.7313169
Liechtenstein,54.23866091,49.77739634,47.82712957
Lithuania,117.5820041,43.34859859,78.23554334
Luxemburg,146.6339075,123.7078007,113.0783112
Macedonia,50.14226484,43.21204456,53.51672614
Madagascar,16.32764376,15.89799604,20.28669644
Malawi,5.503045498,5.606264248,5.147708727
Malaysia,52.12847813,49.97525751,52.27089889
Maldives,280.1501272,190.6608479,170.8732217
Mali,53.99462166,49.93859893,73.12303271
Malta,80.40881112,80.92164993,78.75353845
Marshall Islands,945.3074679,457.3140761,1240.465722
Mauritania,193.5724681,238.9626224,249.1446969
Mauritius,20.22717937,19.89160416,21.00181767
Mexico,51.78528653,48.8748358,54.08242114
Moldova,24.6006397,15.09449029,21.02331078
Monaco,69.17501599,70.14326343,63.71418727
Mongolia,868.25146,772.4995369,601.7378733
Montenegro,103.2103631,84.72041299,109.0525524
Morocco,36.16998049,45.48727237,44.77165319
Mozambique,19.06410128,22.51057419,22.10040131
Myanmar,16.14596408,19.17442879,24.54203797
Namibia,167.9614522,175.1110553,178.544267
Nauru,57.48148148,107.5078616,167.4819018
Nepal,5.211212467,6.563649035,6.94227687
New Zealand,118.6477117,72.77823359,158.4028548
Nicaragua,24.10907074,17.20859613,21.60692348
Niger,33.53263217,28.7956384,46.47537178
Nigeria,9.368618394,6.108437679,11.58513321
North Korea,4.850595715,1.309877279,2.536084121
Norway,311.4203554,189.863335,113.7038073
Oman,311.5688298,302.590121,306.7496767
Pakistan,10.39581927,9.538673353,10.62301622
Palau,56.36024667,25.59605631,44.29101498
Panama,52.77265605,34.40356713,51.94748674
Papua New Guinea,27.8973586,56.33290847,104.1621688
Paraguay,68.91738504,98.06764361,119.7013521
Peru,59.62285339,64.28006608,75.23156536
Philippines,8.985230509,5.95868273,8.244409016
Poland,120.1043496,65.77334605,75.28950254
Portugal,120.1500005,124.5484355,138.8535971
Qatar,421.342529,460.6441336,386.1807185
Romania,52.58007116,36.49569373,50.87092634
Russia,413.8756635,318.1654855,161.4943986
Rwanda,3.263106157,2.534399196,4.207270045
St. Kitts and Nevis,81.4717961,69.0885265,87.72403369
St. Lucia,45.48421601,34.32165319,41.63806291
St. Vincent and the Grenadines,33.90745196,15.09692758,31.84666825
Samoa,17.58495719,10.50327087,38.74697249
San Marino,124.1438629,124.8298781,124.8230075
Sao Tome and Principe,124.8944546,75.79611682,40.02752911
Saudi Arabia,264.4651009,263.5546643,330.4108778
Senegal,16.23502808,12.39463578,13.98778381
Serbia,81.24668836,68.39910268,88.90772609
Seychelles,458.7875417,235.7002188,272.8094726
Sierra Leone,13.8622681,15.77262242,14.70994783
Singapore,34.20604901,37.62200798,32.03684479
Slovakia,53.51486582,43.16038924,46.69831583
Slovenia,61.25091204,49.97381158,55.34633738
Solomon Islands,50.05662716,37.01690579,290.9194967
Somalia,83.05433974,43.46308543,42.74956467
South Africa,46.44974746,46.23177121,53.24687046
South Korea,43.58214707,40.36950295,45.16091368
South Sudan,56.63346956,28.98704277,35.30548115
Spain,103.100737,105.3325107,104.6291924
Sri Lanka,7.143350017,5.782148187,7.3708385
Sudan,26.44004902,16.87950127,31.05974065
Suriname,599.0214641,265.0785512,346.6973618
Swaziland,25.24705331,32.80403936,28.27804844
Sweden,264.2311309,123.63092,124.0550059
Switzerland,41.66863428,41.4727753,42.8187556
Syria,26.16413853,20.53958664,19.6579765
Tajikistan,41.71442576,24.07881541,34.19240249
Tanzania,12.41818503,15.42054386,15.02092185
Thailand,29.69141258,30.66777374,31.82531489
Bahamas,268.5388828,182.799292,562.7121352
The Gambia,9.356262166,6.585931653,7.925968043
Netherlands,119.6605157,137.9421225,124.6868306
Togo,7.523901604,5.726362137,6.221030154
Tonga,91.25063012,34.94781505,172.9867194
Trinidad,156.2266362,152.5275696,140.6666333
Tunisia,51.09980251,50.98221268,56.99274384
Turkey,56.03886217,49.63059855,57.76369486
Turkmenistan,282.9532634,246.6387096,234.6406496
Tuvalu,717.1931956,646.2144951,850.5445744
Uganda,7.085808049,6.241568457,7.898236703
Ukraine,53.68462242,29.94969457,37.20895965
United Arab Emirates,188.8500171,186.6186507,195.1621952
United Kingdom,71.30307955,59.64702856,64.3267536
United States of America,191.6106284,200.475338,168.3437267
Uruguay,80.52391322,100.7943814,144.8261794
Uzbekistan,41.60247593,24.82184949,31.49909743
Vanuatu,95.8268323,61.4756473,311.8321418
Venezuela,190.0332755,201.9734457,164.4335332
Vietnam,19.92209181,19.51935932,25.20964235
Yemen,30.04392278,20.60971118,29.07568384
Zambia,33.54782336,22.63941446,30.54867492
Zimbabwe,16.71348251,17.70133587,19.92642195
