Country,Population - 2013,Population - 2014,Population - 2015
Afghanistan,30682500,31627506,32526562
Albania,2896652,2893654,2889167
Algeria,38186135,38934334,39666519
Andorra,75902,72786,70473
Angola,23448202,24227524,25021974
Antigua and Barbuda,89985,90900,91818
Argentina,42538304,42980026,43416755
Armenia,2992192,3006154,3017712
Australia,23117353,23464086,23781169
Austria,8479375,8541575,8611088
Azerbaijan,9416801,9535079,9651349
Bahrain,1349427,1361930,1377237
Bangladesh,157157394,159077513,160995642
Barbados,282503,283380,284215
Belarus,9466000,9483000,9513000
Belgium,11182817,11231213,11285721
Belize,344193,351706,359287
Benin,10322232,10598482,10879829
Bhutan,754637,765008,774830
Bolivia,10399931,10561887,10724705
Bosnia,3823533,3817554,3810416
Botswana,2176510,2219937,2262485
Brazil,204259377,206077898,207847528
Brunei,411499,417394,423188
Bulgaria,7265115,7223938,7177991
Burkina Faso,17084554,17589198,18105570
Burundi,10465959,10816860,11178921
Cambodia,15078564,15328136,15577899
Cameroon,22211166,22773014,23344179
Canada,35155499,35543658,35851774
Cape Verde,507258,513906,520502
Central African Republic,4710678,4804316,4900274
Chad,13145788,13587053,14037472
Chile,17575833,17762647,17948141
China,1357380000,1364270000,1371220000
Colombia,47342363,47791393,48228704
Comoros,751697,769991,788474
Costa Rica,4706433,4757606,4807850
Côte d'Ivoire,21622490,22157107,22701556
Croatia,4255689,4238389,4224404
Cuba,11362505,11379111,11389562
Cyprus,1141652,1153658,1165300
Czech Republic,10514272,10525347,10551219
Denmark,5614932,5643475,5676002
Djibouti,864554,876174,887861
Dominica,72005,72341,72680
Dominican Republic,10281408,10405943,10528391
Ecuador,15661312,15902916,16144363
Egypt,87613909,89579670,91508084
El Salvador,6089644,6107706,6126583
Equatorial Guinea,797082,820885,845060
Estonia,1317997,1314545,1311998
Ethiopia,94558374,96958732,99390750
Fiji,880487,886450,892145
Finland,5438972,5461512,5482013
France,65972097,66495940,66808385
Gabon,1650351,1687673,1725292
Georgia,3776000,3727000,3679000
Germany,82132753,80982500,81413145
Ghana,26164432,26786598,27409893
Greece,10965211,10892413,10823732
Grenada,105902,106349,106825
Guatemala,15690793,16015494,16342897
Guinea,11948726,12275527,12608590
Guinea-Bissau,1757138,1800513,1844325
Guyana,761033,763893,767085
Haiti,10431249,10572029,10711067
Honduras,7849059,7961680,8075060
Hungary,9893082,9866468,9844686
Iceland,323764,327386,330823
India,1279498874,1295291543,1311050527
Indonesia,251268276,254454778,257563815
Iran,77152445,78143644,79109272
Iraq,34107366,35273293,36423395
Ireland,4598294,4617225,4640703
Israel,8059500,8215700,8380400
Italy,60233948,60789140,60802085
Jamaica,2714669,2720554,2725941
Japan,127338621,127131800,126958472
Jordan,7214832,7416083,7594547
Kazakhstan,17035275,17289224,17544126
Kenya,43692881,44863583,46050302
Kiribati,108544,110470,112423
Kuwait,3593689,3753121,3892115
Kyrgyzstan,5719600,5835500,5957000
Laos,6579985,6689300,6802023
Latvia,2012647,1993782,1978440
Lebanon,5286990,5612096,5850743
Lesotho,2083061,2109197,2135022
Liberia,4293692,4396554,4503438
Libya,6265987,6258984,6278438
Liechtenstein,37040,37286,37531
Lithuania,2957689,2932367,2910199
Luxemburg,543360,556319,569676
Macedonia,2072543,2075625,2078453
Madagascar,22924557,23571713,24235390
Malawi,16190126,16695253,17215232
Malaysia,29465372,29901997,30331007
Maldives,393000,401000,409163
Mali,16592097,17086022,17599694
Malta,423374,427364,431333
Marshall Islands,52786,52898,52993
Mauritania,3872684,3969625,4067564
Mauritius,1258653,1260934,1262605
Mexico,123740109,125385833,127017224
Moldova,3558566,3556397,3554150
Monaco,37528,37623,37731
Mongolia,2859174,2909871,2959134
Montenegro,621207,621810,622388
Morocco,33452686,33921203,34377511
Mozambique,26467180,27216276,27977863
Myanmar,52983829,53437159,53897154
Namibia,2346592,2402858,2458830
Nauru,10125,10176,10222
Nepal,27834981,28174724,28513700
New Zealand,4442100,4509700,4595700
Nicaragua,5945646,6013913,6082032
Niger,18358863,19113728,19899120
Nigeria,172816517,177475986,182201962
North Korea,24895705,25026772,25155317
Norway,5079623,5137232,5195921
Oman,3906912,4236057,4490541
Pakistan,181192646,185044286,188924874
Palau,20919,21097,21291
Panama,3805683,3867535,3929141
Papua New Guinea,7308864,7463577,7619321
Paraguay,6465669,6552518,6639123
Peru,30565461,30973148,31376670
Philippines,97571676,99138690,100699395
Poland,38040196,38011735,37999494
Portugal,10457295,10401062,10348648
Qatar,2101288,2172065,2235355
Romania,19983693,19908979,19832389
Russia,143506911,143819569,144096812
Rwanda,11078095,11341544,11609666
St. Kitts and Nevis,54301,54944,55572
St. Lucia,182305,183645,184999
St. Vincent and the Grenadines,109327,109360,109462
Samoa,190390,191845,193228
San Marino,31391,31595,31781
Sao Tome and Principe,182386,186342,190344
Saudi Arabia,30201051,30886545,31540372
Senegal,14221041,14672557,15129273
Serbia,7164132,7130576,7098247
Seychelles,89900,91400,92900
Sierra Leone,6178859,6315627,6453184
Singapore,5399162,5469724,5535002
Slovakia,5413393,5418649,5424050
Slovenia,2059953,2061980,2063768
Solomon Islands,560685,572171,583591
Somalia,10268157,10517569,10787104
South Africa,53192216,54058647,54956920
South Korea,50219669,50423955,50617045
South Sudan,11453810,11911184,12339812
Spain,46620045,46480882,46418269
Sri Lanka,20579000,20771000,20966000
Sudan,38515095,39350274,40234882
Suriname,533450,538248,542975
Swaziland,1250641,1269112,1286970
Sweden,9600379,9696110,9798871
Switzerland,8089346,8188649,8286976
Syria,19322593,18772481,18502413
Tajikistan,8111894,8295840,8481855
Tanzania,50213457,51822621,53470420
Thailand,67451422,67725979,67959359
Bahamas,377841,383054,388019
The Gambia,1866878,1928201,1990924
Netherlands,16804432,16865008,16936520
Togo,6928719,7115163,7304578
Tonga,105139,105586,106170
Trinidad,1348240,1354483,1360088
Tunisia,10886500,10996600,11107800
Turkey,76223639,77523788,78665830
Turkmenistan,5240088,5307188,5373502
Tuvalu,9876,9893,9916
Uganda,36573387,37782971,39032383
Ukraine,45489600,45362900,45198200
United Arab Emirates,9039978,9086139,9156963
United Kingdom,64128226,64613160,65138232
United States of America,316427395,318907401,321418820
Uruguay,3407969,3419516,3431555
Uzbekistan,30243200,30757700,31299500
Vanuatu,253165,258883,264652
Venezuela,30276045,30693827,31108083
Vietnam,89759500,90728900,91703800
Yemen,25533217,26183676,26832215
Zambia,15246086,15721343,16211767
Zimbabwe,14898092,15245855,15602751
